Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/10/2020 	_x86_64_	(8 CPU)

02/10/2020 08:32:26 PM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           9.97    0.00   13.05   13.74    0.00   63.24

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdf               0.00     0.00   89.00  152.00     0.35     0.77     9.57     1.08    4.47    0.20    6.97   2.35  56.73
sdh               0.00     0.00  187.00    0.00     0.80     0.00     8.77     0.04    0.20    0.20    0.00   0.20   3.83
sde               0.00     0.00 4736.67    1.00    36.35     0.01    15.72    14.36    3.02    3.02    5.00   0.21  97.40
sdr               0.00     0.00   76.67    0.00     0.30     0.00     8.00     0.17    2.25    2.25    0.00   2.21  16.93
sdo               0.00     0.00   78.33    0.00     0.31     0.00     8.00     0.17    2.19    2.19    0.00   2.17  17.03
sdm               0.00     0.00   95.00    0.33     0.44     0.00     9.51     0.22    2.32    2.32    3.00   2.19  20.83
sdd               0.00     0.00  189.33    1.33     0.80     0.00     8.65     0.04    0.23    0.21    3.25   0.23   4.30
sdi               0.00     0.00   94.00    0.33     0.44     0.00     9.53     0.21    2.20    2.20    3.00   2.05  19.33
sdp               0.00     0.00   76.00    0.33     0.30     0.00     8.00     0.18    2.35    2.35    3.00   2.31  17.63
sdj               0.00     0.00   93.67    0.00     0.44     0.00     9.54     0.20    2.19    2.19    0.00   2.17  20.30
sdk               0.00     0.00   79.67    0.00     0.31     0.00     8.00     0.17    2.17    2.17    0.00   2.15  17.10
sdn               0.00     0.00   80.00    0.00     0.31     0.00     8.00     0.18    2.20    2.20    0.00   2.18  17.43
sdl               0.00     0.00   81.00    0.00     0.32     0.00     8.00     0.18    2.17    2.17    0.00   2.14  17.37
sda               0.00     0.00    0.00    3.33     0.00     0.01     8.00     0.01    3.30    0.00    3.30   2.40   0.80
dm-0              0.00     0.00    0.00   28.33     0.00     0.19    13.84     0.81   28.65    0.00   28.65   1.56   4.43
sds               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
dm-1              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdt               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-2              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdu               0.00     0.00    0.67    0.33     0.00     0.01    13.67     0.00    2.00    1.00    4.00   2.00   0.20
dm-3              0.00     0.00    0.67    0.33     0.00     0.01    13.67     0.00    2.00    1.00    4.00   2.00   0.20
sdv               0.00     0.00    3.67    0.00     0.01     0.00     8.00     0.01    1.64    1.64    0.00   1.64   0.60
dm-4              0.00     0.00    3.67    0.00     0.01     0.00     8.00     0.01    1.73    1.73    0.00   1.73   0.63
sdw               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
dm-5              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
sdx               0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    2.90    2.29    4.33   2.90   0.97
dm-6              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    3.00    2.43    4.33   3.00   1.00
sdz               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
dm-7              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdy               0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-8              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    2.00    2.00    0.00   2.00   0.07
sdaa              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    5.00    5.00    0.00   5.00   0.17
dm-9              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    5.00    5.00    0.00   5.00   0.17
sdab              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
dm-10             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdac              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    2.00    2.00    0.00   2.00   0.07
dm-11             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdad              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
dm-12             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdae              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
dm-13             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdaf              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    3.00    3.00    0.00   3.00   0.10
dm-14             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
sdag              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    1.80    0.86    4.00   1.80   0.60
dm-15             0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    1.90    1.00    4.00   1.90   0.63
sdah              0.00     0.00    0.33  151.33     0.00     0.77    10.39     0.74    4.90    0.00    4.91   3.00  45.57
dm-16             0.00     0.00    0.33  151.33     0.00     0.77    10.39     0.76    5.02    0.00    5.04   3.06  46.40
sdai              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-17             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaj              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
dm-18             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    4.00    4.00    0.00   4.00   0.13
