Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/12/2020 	_x86_64_	(32 CPU)

02/12/2020 10:13:34 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.46    0.00    7.58   15.22    0.00   73.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdo               0.00     0.00    1.67    9.00     0.02     0.08    18.75     0.03    2.97    2.60    3.04   2.88   3.07
sdn               0.00     0.00    2.67    7.33     0.04     0.06    19.47     0.03    2.93    3.00    2.91   2.87   2.87
sdm               0.00     0.00    0.33    8.33     0.00     0.06    15.38     0.03    3.23    3.00    3.24   3.23   2.80
sdr               0.00     0.00    0.33    8.33     0.00     0.07    15.69     0.03    3.00    3.00    3.00   2.85   2.47
sda               0.00     0.00    0.00    7.33     0.00     0.07    19.82     0.18   24.95    0.00   24.95   3.73   2.73
dm-0              0.00     0.00    0.00   18.67     0.00     0.13    14.00     0.29   15.70    0.00   15.70   1.45   2.70
sds               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdt               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdu               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdv               0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.89    1.00    3.67   1.89   0.57
dm-4              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.89    1.00    3.67   1.89   0.57
sdw               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-5              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdx               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00    9.00     0.00     0.07    16.00     0.03    3.15    0.00    3.15   3.11   2.80
dm-7              0.00     0.00    0.00    9.00     0.00     0.07    16.00     0.03    3.15    0.00    3.15   3.11   2.80
sdz               0.00     0.00    0.00    8.00     0.00     0.06    16.00     0.02    3.00    0.00    3.00   2.96   2.37
dm-8              0.00     0.00    0.00    8.00     0.00     0.06    16.00     0.03    3.12    0.00    3.12   3.12   2.50
sdaa              0.00     0.00    0.00    7.67     0.00     0.06    16.00     0.02    3.09    0.00    3.09   3.09   2.37
dm-9              0.00     0.00    0.00    7.67     0.00     0.06    16.00     0.02    3.17    0.00    3.17   3.17   2.43
sdab              0.00     0.00    0.00    8.33     0.00     0.07    16.00     0.03    3.08    0.00    3.08   2.84   2.37
dm-10             0.00     0.00    0.00    8.33     0.00     0.07    16.00     0.03    3.16    0.00    3.16   2.92   2.43
sdac              0.00     0.00    0.00    7.00     0.00     0.05    16.00     0.02    3.14    0.00    3.14   3.10   2.17
dm-11             0.00     0.00    0.00    7.00     0.00     0.05    16.00     0.02    3.29    0.00    3.29   3.24   2.27
sdad              0.00     0.00    0.00    5.33     0.00     0.04    16.00     0.02    3.00    0.00    3.00   2.81   1.50
dm-12             0.00     0.00    0.00    5.33     0.00     0.04    16.00     0.02    3.12    0.00    3.12   2.94   1.57
sdae              0.00     0.00    0.00    7.00     0.00     0.06    16.76     0.02    3.19    0.00    3.19   3.10   2.17
dm-13             0.00     0.00    0.00    7.00     0.00     0.06    16.76     0.02    3.43    0.00    3.43   3.29   2.30
sdaf              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-14             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdag              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.67    0.67    3.67   1.67   0.50
dm-15             0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.78    0.83    3.67   1.78   0.53
sdah              0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
dm-16             0.00     0.00    0.00    0.33     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.13
sdai              0.00     0.00    0.00    3.33     0.00     0.03    16.70     0.02    5.60    0.00    5.60   3.30   1.10
dm-17             0.00     0.00    0.00    3.33     0.00     0.03    16.70     0.02    5.70    0.00    5.70   3.40   1.13
sdaj              0.00     0.00    0.00   12.00     0.00     0.09    16.00     0.04    3.08    0.00    3.08   2.97   3.57
dm-18             0.00     0.00    0.00   12.00     0.00     0.09    16.00     0.04    3.17    0.00    3.17   3.06   3.67
sdak              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-19             0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

02/12/2020 10:13:43 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           5.37    0.00    3.76    3.88    0.00   86.99

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdc               0.00     0.33    0.00   22.67     0.00     0.17    15.18     0.22    9.53    0.00    9.53   1.26   2.87
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    0.67    1.67     0.01     0.19   171.29     0.01    4.86    0.00    6.80   3.86   0.90
sdd               0.00     0.00    4.33    2.33     0.00     0.00     1.70     0.01    1.05    0.08    2.86   1.05   0.70
sdf               0.00     0.00    0.33    1.67     0.00     0.18   182.67     0.04    7.67    0.00    9.20   6.50   1.30
sdg               0.00     0.00    0.33    0.33     0.00     0.01    20.00     0.00    2.00    0.00    4.00   2.00   0.13
sdh               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.01   12.50   22.00    3.00  12.50   0.83
sdi               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.01   13.00   23.00    3.00  13.00   0.87
sdj               0.00     0.00    0.33    0.33     0.00     0.00     8.00     0.00    3.50    4.00    3.00   3.50   0.23
sdk               0.00     0.00  299.67   33.33     2.33     0.26    15.92     2.42    7.22    7.34    6.13   0.36  11.93
sdl               0.00     0.00  306.33   37.00     2.37     0.33    16.09     2.65    7.73    7.95    5.86   0.35  12.03
sdq               0.00     0.00  306.00   36.67     2.38     0.33    16.22     2.61    7.59    7.77    6.15   0.36  12.33
sdp               0.00     0.00  274.00   38.67     2.12     0.30    15.86     2.04    6.52    6.84    4.25   0.41  12.70
sdo               0.00     0.00  291.67   42.00     2.27     0.34    16.00     2.45    7.33    7.56    5.72   0.37  12.20
sdn               0.00     0.00  290.33   32.33     2.27     0.25    16.00     2.38    7.35    7.51    5.93   0.40  12.97
sdm               0.00     0.00  301.00   40.00     2.33     0.31    15.84     2.64    7.68    7.83    6.48   0.36  12.23
sdr               0.00     0.00  293.67   45.33     2.27     0.36    15.85     2.60    7.59    7.74    6.56   0.38  12.87
sda               0.00     0.00    0.00    9.67     0.00     0.07    15.72     0.06    6.59    0.00    6.59   2.59   2.50
dm-0              0.00     0.00    0.00   23.00     0.00     0.17    14.96     0.22    9.49    0.00    9.49   1.25   2.87
