Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/17/2020 	_x86_64_	(64 CPU)

02/17/2020 09:34:15 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.32    0.00    6.66    9.75    0.00   80.27

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdv               0.00     0.00    2.00    3.33     0.03     0.03    23.00     0.01    2.06    0.00    3.30   1.88   1.00
sdt               0.00     0.00    0.00   12.33     0.00     0.07    12.00     0.04    3.08    0.00    3.08   3.08   3.80
sdw               0.00     0.00    0.00    0.67     0.00     0.01    32.00     0.00    4.00    0.00    4.00   4.00   0.27
sdm               0.00     0.00    0.67    3.00     0.01     0.02    19.64     0.01    2.82    0.00    3.44   2.18   0.80
sdu               0.00     0.00    1.67    6.33     0.02     0.03    11.42     0.02    2.54    0.00    3.21   2.42   1.93
sda               0.00     0.00    0.00    1.67     0.00     0.01     8.00     0.01    3.00    0.00    3.00   3.00   0.50
dm-0              0.00     0.00    0.00    7.33     0.00     0.10    27.64     0.02    3.36    0.00    3.36   1.86   1.37
sdx               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdy               0.00     0.00    0.00    2.33     0.00     0.02    18.29     0.01    3.86    0.00    3.86   2.71   0.63
sdz               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-2              0.00     0.00    0.00    2.33     0.00     0.02    18.29     0.01    3.86    0.00    3.86   2.71   0.63
dm-3              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    3.67     0.00     0.03    17.45     0.01    3.82    0.00    3.82   2.64   0.97
dm-4              0.00     0.00    0.00    3.67     0.00     0.03    17.45     0.02    4.18    0.00    4.18   2.91   1.07
sdab              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.44    0.50    3.33   1.44   0.43
dm-5              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.00    1.44    0.50    3.33   1.44   0.43
sdac              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-6              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdad              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.78    0.67    4.00   1.78   0.53
dm-7              0.00     0.00    2.00    1.00     0.00     0.00     1.00     0.01    1.78    0.67    4.00   1.78   0.53
sdae              0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    3.50    0.00    3.50   2.38   0.63
dm-8              0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    3.62    0.00    3.62   2.50   0.67
sdaf              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.71    0.00    3.71   3.14   0.73
dm-9              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.71    0.00    3.71   3.14   0.73
sdag              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.71    0.00    3.71   2.57   0.60
dm-10             0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.86    0.00    3.86   2.71   0.63
sdah              0.00     0.00    0.00    2.67     0.00     0.03    20.00     0.01    4.25    0.00    4.25   3.62   0.97
dm-11             0.00     0.00    0.00    2.67     0.00     0.03    20.00     0.01    4.38    0.00    4.38   3.75   1.00
sdai              0.00     0.00    0.00    5.00     0.00     0.04    17.07     0.02    4.00    0.00    4.00   2.47   1.23
dm-12             0.00     0.00    0.00    5.00     0.00     0.04    17.07     0.02    4.00    0.00    4.00   2.47   1.23
sdaj              0.00     0.00    0.00    3.33     0.00     0.03    16.00     0.01    3.70    0.00    3.70   2.50   0.83
dm-13             0.00     0.00    0.00    3.33     0.00     0.03    16.00     0.01    3.80    0.00    3.80   2.50   0.83
sdak              0.00     0.00    0.00    4.00     0.00     0.03    16.00     0.01    3.42    0.00    3.42   2.17   0.87
dm-14             0.00     0.00    0.00    4.00     0.00     0.03    16.00     0.01    3.42    0.00    3.42   2.17   0.87
sdal              0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    3.88    0.00    3.88   2.50   0.67
dm-15             0.00     0.00    0.00    2.67     0.00     0.02    16.00     0.01    4.00    0.00    4.00   2.50   0.67
sdam              0.00     0.00    0.00    3.00     0.00     0.02    16.00     0.01    3.44    0.00    3.44   3.11   0.93
dm-16             0.00     0.00    0.00    3.00     0.00     0.02    16.00     0.01    3.44    0.00    3.44   3.11   0.93
sdan              0.00     0.00    0.00    2.67     0.00     0.02    18.00     0.01    4.00    0.00    4.00   2.50   0.67
dm-17             0.00     0.00    0.00    2.67     0.00     0.02    18.00     0.01    4.00    0.00    4.00   2.50   0.67
sdao              0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.57    0.00    3.57   3.43   0.80
dm-18             0.00     0.00    0.00    2.33     0.00     0.02    16.00     0.01    3.57    0.00    3.57   3.43   0.80
