Linux 3.10.0-1062.7.1.el7.x86_64 (mcracpoc1.example.com) 	02/20/2020 	_x86_64_	(64 CPU)

02/20/2020 10:36:38 AM
avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           4.75    0.00    6.73   15.78    0.00   72.73

Device:         rrqm/s   wrqm/s     r/s     w/s    rMB/s    wMB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdd               0.00     0.00  103.67    2.33     0.46     0.00     8.96     0.02    0.21    0.15    3.14   0.21   2.23
sdc               0.00     0.00    0.00   14.33     0.00     0.13    18.23     0.05    3.30    0.00    3.30   1.21   1.73
sdk               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.13    0.13    0.00   0.13   1.10
sdi               0.00     0.00   88.67    0.67     0.36     0.01     8.45     0.01    0.16    0.13    3.50   0.16   1.40
sdl               0.00     0.00   87.67    0.33     0.34     0.00     8.00     0.01    0.15    0.14    3.00   0.15   1.30
sdm               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.12    0.12    0.00   0.12   1.03
sdg               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.15    0.15    0.00   0.15   1.33
sdh               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.14    0.14    0.00   0.14   1.20
sdr               0.00     0.00   88.33    0.00     0.35     0.00     8.12     0.01    0.15    0.15    0.00   0.15   1.30
sdq               0.00     0.00   88.00    0.00     0.35     0.00     8.03     0.01    0.13    0.13    0.00   0.13   1.17
sdj               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.14    0.14    0.00   0.14   1.23
sds               0.00     0.00   89.33    0.00     0.37     0.00     8.45     0.01    0.14    0.14    0.00   0.14   1.23
sdu               0.00     0.00   87.67    4.67     0.34     0.01     7.73     0.03    0.29    0.15    2.79   0.25   2.27
sdt               0.00     0.00   87.67    0.33     0.34     0.00     8.03     0.01    0.16    0.14    5.00   0.14   1.27
sdv               0.00     0.00   87.67   15.33     0.34     0.03     7.46     0.08    0.79    0.15    4.43   0.59   6.03
sdw               0.00     0.00   99.67    0.00     0.46     0.00     9.44     0.01    0.13    0.13    0.00   0.13   1.33
sdp               0.00     0.00   88.00    0.33     0.35     0.00     8.06     0.01    0.14    0.12    4.00   0.14   1.23
sdn               0.00     0.00   99.67    0.00     0.46     0.00     9.44     0.01    0.13    0.13    0.00   0.13   1.33
sdy               0.00     0.00   56.00    0.33     0.29     0.00    10.56     0.14    2.45    2.45    3.00   2.41  13.57
sdz               0.00     0.00   47.33    0.00     0.18     0.00     8.00     0.11    2.32    2.32    0.00   2.28  10.80
sdaa              0.00     0.00   50.33    0.00     0.20     0.00     8.00     0.11    2.19    2.19    0.00   2.15  10.83
sde               0.00     0.00   87.67    0.00     0.34     0.00     8.00     0.01    0.13    0.13    0.00   0.13   1.17
sdab              0.00     0.00   60.67    0.00     0.24     0.00     8.00     0.12    2.06    2.06    0.00   2.03  12.30
sdx               0.00     0.00   99.67    0.33     0.46     0.00     9.44     0.01    0.14    0.13    3.00   0.14   1.43
sdo               0.00     0.00   88.67    0.00     0.36     0.00     8.21     0.01    0.13    0.13    0.00   0.13   1.13
sda               0.00     0.00    0.00    2.00     0.00     0.01     8.00     0.01    3.00    0.00    3.00   3.00   0.60
dm-0              0.00     0.00    0.00   14.33     0.00     0.13    18.23     0.05    3.33    0.00    3.33   1.23   1.77
sdac              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-1              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdad              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-2              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdae              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-3              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaf              0.00     0.00    3.67    0.00     0.01     0.00     8.00     0.00    0.55    0.55    0.00   0.55   0.20
dm-4              0.00     0.00    3.67    0.00     0.01     0.00     8.00     0.00    0.55    0.55    0.00   0.55   0.20
sdag              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.00    1.30    0.29    3.67   1.30   0.43
dm-5              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.00    1.30    0.29    3.67   1.30   0.43
sdah              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    1.60    0.57    4.00   1.60   0.53
dm-6              0.00     0.00    2.33    1.00     0.00     0.00     1.70     0.01    1.60    0.57    4.00   1.60   0.53
sdai              0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    1.00    3.00   2.00   0.13
dm-7              0.00     0.00    0.33    0.33     0.00     0.00    12.00     0.00    2.00    1.00    3.00   2.00   0.13
sdaj              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-8              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdak              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-9              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
sdal              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-10             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdam              0.00     0.00    0.33    0.67     0.00     0.01    18.67     0.00    3.00    0.00    4.50   3.00   0.30
dm-11             0.00     0.00    0.33    0.67     0.00     0.01    18.67     0.00    3.00    0.00    4.50   3.00   0.30
sdan              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
dm-12             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    1.00    1.00    0.00   1.00   0.03
sdao              0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
dm-13             0.00     0.00    0.33    0.00     0.00     0.00     8.00     0.00    0.00    0.00    0.00   0.00   0.00
